n_samples,n_features,time_elapsed_split
10,2,0.0021796226501464844
10,2,0.00016260147094726562
10,2,0.0001709461212158203
10,2,0.000141143798828125
10,2,0.000141143798828125
10,2,0.0001494884490966797
10,2,0.00013589859008789062
10,2,0.00014328956604003906
10,2,0.00013947486877441406
10,2,0.0001385211944580078
10,2,0.00013971328735351562
10,2,0.0001354217529296875
10,2,0.000133514404296875
10,2,0.00013875961303710938
10,2,0.0001373291015625
10,3,0.0001633167266845703
10,3,0.00015544891357421875
10,3,0.00016450881958007812
10,3,0.00015401840209960938
10,3,0.00016307830810546875
10,4,0.0001761913299560547
10,4,0.00017642974853515625
10,4,0.00017499923706054688
10,4,0.00017547607421875
10,4,0.0001723766326904297
10,6,0.00021529197692871094
10,6,0.0002143383026123047
10,6,0.00021958351135253906
10,6,0.00021338462829589844
10,6,0.00021195411682128906
10,8,0.00024819374084472656
10,8,0.00024080276489257812
10,8,0.00026535987854003906
10,8,0.0002570152282714844
10,8,0.0002357959747314453
10,11,0.00029206275939941406
10,11,0.0003178119659423828
10,11,0.00033092498779296875
10,11,0.0002903938293457031
10,11,0.0002899169921875
10,16,0.0003800392150878906
10,16,0.0003790855407714844
10,16,0.00037789344787597656
10,16,0.00037789344787597656
10,16,0.00037932395935058594
10,22,0.0004894733428955078
10,22,0.0004839897155761719
10,22,0.0005109310150146484
10,22,0.0005118846893310547
10,22,0.00048422813415527344
10,30,0.0006320476531982422
10,30,0.0006258487701416016
10,30,0.0006225109100341797
10,30,0.000629425048828125
10,30,0.0006232261657714844
10,42,0.0008511543273925781
10,42,0.0008761882781982422
10,42,0.0008921623229980469
10,42,0.0008449554443359375
10,42,0.0008382797241210938
10,59,0.001146078109741211
10,59,0.0011484622955322266
10,59,0.0011434555053710938
10,59,0.0011453628540039062
10,59,0.0011518001556396484
10,83,0.001581430435180664
10,83,0.0015642642974853516
10,83,0.0015630722045898438
10,83,0.0015702247619628906
10,83,0.0015685558319091797
10,116,0.0021851062774658203
10,116,0.002272367477416992
10,116,0.002180337905883789
10,116,0.0021855831146240234
10,116,0.0021774768829345703
10,163,0.003070831298828125
10,163,0.0030744075775146484
10,163,0.0031578540802001953
10,163,0.0030663013458251953
10,163,0.0032117366790771484
10,228,0.004441976547241211
10,228,0.004541873931884766
10,228,0.0043370723724365234
10,228,0.004338502883911133
10,228,0.004592180252075195
10,321,0.006231546401977539
10,321,0.006206989288330078
10,321,0.006307840347290039
10,321,0.0062160491943359375
10,321,0.006237983703613281
10,450,0.009101390838623047
10,450,0.009122371673583984
10,450,0.009636402130126953
10,450,0.009418010711669922
10,450,0.009088754653930664
10,631,0.014104366302490234
10,631,0.014573335647583008
10,631,0.014130592346191406
10,631,0.01439976692199707
10,631,0.014298200607299805
14,2,0.00028777122497558594
14,2,0.00017499923706054688
14,2,0.0001690387725830078
14,2,0.00017070770263671875
14,2,0.0001690387725830078
14,2,0.00017452239990234375
14,2,0.00017023086547851562
14,2,0.00016760826110839844
14,2,0.00016999244689941406
14,2,0.00016832351684570312
14,2,0.0001857280731201172
14,2,0.00017690658569335938
14,2,0.00018453598022460938
14,2,0.0001685619354248047
14,2,0.0001659393310546875
14,3,0.00021266937255859375
14,3,0.00020503997802734375
14,3,0.0002067089080810547
14,3,0.0002040863037109375
14,3,0.00020623207092285156
14,4,0.0002410411834716797
14,4,0.0002410411834716797
14,4,0.00024962425231933594
14,4,0.00023984909057617188
14,4,0.00025200843811035156
14,6,0.0003218650817871094
14,6,0.0003151893615722656
14,6,0.0003135204315185547
