n_samples,n_features,time_elapsed_sort,time_elapsed_split
10,2,4.506111145019531e-05,0.0016868114471435547
10,2,2.5272369384765625e-05,0.0008645057678222656
10,2,2.3365020751953125e-05,0.0008440017700195312
10,2,2.1696090698242188e-05,0.0008401870727539062
10,2,3.62396240234375e-05,0.0009195804595947266
10,2,2.384185791015625e-05,0.000985860824584961
10,2,2.384185791015625e-05,0.0008752346038818359
10,2,2.1457672119140625e-05,0.0008337497711181641
10,2,2.1219253540039062e-05,0.0008389949798583984
10,2,2.1457672119140625e-05,0.0008530616760253906
10,2,2.1696090698242188e-05,0.0009002685546875
10,2,2.09808349609375e-05,0.001026153564453125
10,2,2.3365020751953125e-05,0.0008862018585205078
10,2,2.2172927856445312e-05,0.0008232593536376953
10,2,2.1696090698242188e-05,0.0008256435394287109
10,3,2.4557113647460938e-05,0.0013120174407958984
10,3,2.6702880859375e-05,0.0013346672058105469
10,3,2.4557113647460938e-05,0.001224517822265625
10,3,2.4557113647460938e-05,0.0012216567993164062
10,3,2.5033950805664062e-05,0.0012557506561279297
10,4,2.7894973754882812e-05,0.0019257068634033203
10,4,3.3855438232421875e-05,0.0016736984252929688
10,4,2.6464462280273438e-05,0.001766204833984375
10,4,2.765655517578125e-05,0.0016591548919677734
10,4,3.361701965332031e-05,0.0018084049224853516
10,6,4.38690185546875e-05,0.0025637149810791016
10,6,3.7670135498046875e-05,0.002730846405029297
10,6,6.365776062011719e-05,0.002752065658569336
10,6,3.504753112792969e-05,0.002511262893676758
10,6,3.814697265625e-05,0.002652406692504883
10,8,5.125999450683594e-05,0.0036618709564208984
10,8,4.982948303222656e-05,0.003871440887451172
10,8,6.0558319091796875e-05,0.0035643577575683594
10,8,4.1484832763671875e-05,0.0034418106079101562
10,8,4.1484832763671875e-05,0.003407716751098633
10,11,5.2928924560546875e-05,0.0049784183502197266
10,11,5.626678466796875e-05,0.004563093185424805
10,11,5.507469177246094e-05,0.004487276077270508
10,11,8.082389831542969e-05,0.004839420318603516
10,11,5.173683166503906e-05,0.0046994686126708984
10,16,6.532669067382812e-05,0.006685018539428711
10,16,6.67572021484375e-05,0.006224632263183594
10,16,0.00011134147644042969,0.006911516189575195
10,16,7.05718994140625e-05,0.006571292877197266
10,16,6.628036499023438e-05,0.0063283443450927734
10,22,8.106231689453125e-05,0.008866310119628906
10,22,8.130073547363281e-05,0.009235620498657227
10,22,8.058547973632812e-05,0.008804082870483398
10,22,8.130073547363281e-05,0.009007453918457031
10,22,8.130073547363281e-05,0.008870363235473633
10,30,0.00013518333435058594,0.012120485305786133
10,30,0.0001049041748046875,0.012116432189941406
10,30,0.00010275840759277344,0.012713193893432617
10,30,0.00010442733764648438,0.012517690658569336
10,30,0.00011229515075683594,0.012005805969238281
10,42,0.00013947486877441406,0.01767587661743164
10,42,0.00013780593872070312,0.016966581344604492
10,42,0.00013637542724609375,0.016849756240844727
10,42,0.00013971328735351562,0.017431259155273438
10,42,0.00015163421630859375,0.01727437973022461
10,59,0.00018978118896484375,0.023978233337402344
10,59,0.00020742416381835938,0.024852275848388672
10,59,0.00020742416381835938,0.026682138442993164
10,59,0.00020241737365722656,0.024413585662841797
10,59,0.00022482872009277344,0.024483680725097656
10,83,0.0002715587615966797,0.03334236145019531
